1.413	36.888
1.418	41.499
1.444	44.662
1.486	46.113
1.519	47.825
1.530	49.537
1.584	53.961
1.532	53.961
1.619	55.743
1.643	58.121
1.587	59.906
1.503	61.725
1.555	62.581
1.463	64.136
1.503	64.136
1.442	67.965
1.546	71.496
1.488	71.496
1.603	76.287
1.583	76.287
1.666	78.631
1.624	78.631
1.685	80.082
1.685	85.396
1.705	87.740
1.705	90.522
1.681	94.909
1.657	95.504
1.704	100.673
1.657	100.673
1.804	102.492
1.717	103.315
1.828	104.645
1.944	105.167
2.072	107.735
1.965	108.628
2.141	108.665
2.089	109.591
2.152	111.005
2.158	113.349
2.091	114.871
2.152	114.871
2.014	117.438
2.080	117.438
1.967	120.007
2.007	120.602
1.962	122.050
1.928	122.943
1.902	127.032
1.870	129.112
1.876	132.573
1.859	136.401
1.859	139.862
1.870	142.202
1.891	143.915
1.889	150.227
1.883	152.571
1.869	154.083
1.869	154.320
1.781	154.344
1.693	156.684
1.759	156.758
1.623	158.991
1.672	159.028
1.605	161.596
1.579	163.415
1.597	166.909
1.592	168.956
1.574	172.891
1.574	181.214
1.527	182.438
1.548	185.076
1.614	187.122
1.618	191.914
1.679	193.853
1.644	193.923
1.679	195.565
1.751	196.491
1.767	198.762
1.838	199.654
1.854	200.581
1.962	200.617
2.110	202.470
1.979	202.734
2.027	203.363
2.132	203.921
1.990	203.958
2.212	205.931
2.154	205.931
2.236	207.228
2.285	208.713
2.330	211.388
2.287	211.388
2.334	214.290
2.323	216.263
2.312	220.506
2.301	221.957
2.272	223.041
2.241	225.976
2.221	227.688
2.197	228.879
2.182	230.363
2.188	234.750
2.171	236.499
2.136	238.211
2.110	239.100
2.094	240.812
2.033	242.524
2.070	242.524
2.012	244.310
1.991	245.166
1.971	247.507
1.949	248.436
1.975	249.884
1.988	251.930
2.028	252.191
2.053	253.606
2.124	254.987
2.075	255.582
2.168	257.364
2.151	257.364
2.179	259.113
2.179	262.309
2.167	264.356
2.153	267.552
2.136	268.445
2.119	270.191
2.110	271.903
2.095	274.507
2.080	277.149
2.058	280.309
2.036	283.472
2.020	284.923
2.005	286.966
1.990	289.273
1.981	292.697
1.966	294.409
1.950	296.977
1.935	298.726
1.897	299.619
1.851	301.331
1.814	303.043
1.814	303.043
1.783	303.708
1.783	303.708
1.757	304.313
1.759	305.454
1.759	305.454
1.738	306.952
1.753	306.952
1.728	308.132
1.728	308.132
1.724	308.647
1.724	308.664
1.718	311.248
1.718	312.255
1.718	313.719
1.712	314.746
1.712	315.602
1.701	317.314
1.662	318.889
1.701	318.889
1.654	319.026
1.674	319.026
1.690	319.026
1.701	319.026
1.648	319.882
1.637	321.266
1.637	321.594
1.615	322.189
1.615	322.637
1.627	322.778
1.626	323.082
1.643	324.794
1.644	325.085
1.654	325.650
1.659	326.308
1.659	327.362
1.654	328.057
1.659	329.074
1.633	330.137
1.654	330.137
1.648	330.525
1.638	331.120
1.629	332.832
1.611	333.444
1.628	333.705
1.607	334.581
1.623	334.581
1.583	336.119
1.600	336.119
1.607	336.293
1.572	337.901
1.557	339.613
1.546	342.064
1.555	344.371
1.584	346.414
1.558	347.936
1.514	348.494
1.502	351.099
1.388	351.657
1.371	352.550
1.371	354.857
1.386	356.603
1.394	358.910
1.383	362.441
1.442	365.082
1.394	365.082
1.464	367.791
1.448	367.791
1.465	374.261
1.465	382.691
1.478	384.998
1.505	387.599
1.505	390.167
1.505	392.321
1.442	393.177
1.467	393.177
1.453	394.628
1.557	394.698
1.579	396.480
1.697	397.266
1.596	397.303
1.769	397.824
1.796	399.643
1.722	400.275
1.722	402.616
1.685	402.653
1.669	404.365
1.654	405.257
1.519	407.825
1.571	407.825
1.654	407.825
1.431	409.464
1.508	409.537
1.462	413.292
1.516	415.075
1.469	415.075
1.453	416.526
1.510	416.526
1.442	419.759
1.458	422.364
1.478	423.220
1.510	425.564
1.493	425.564
1.510	428.724
1.488	429.319
1.482	433.338
1.470	435.087
1.471	439.721
1.493	444.108
1.521	448.201
1.549	449.090
1.563	451.257
1.559	452.137
1.559	452.137
1.546	454.718
1.544	455.561
1.520	456.417
1.534	456.467
1.521	457.062
1.524	458.129
1.499	459.018
1.498	459.406
1.476	460.262
1.478	460.837
1.467	462.027
1.473	462.830
1.467	463.846
1.467	467.147
1.467	468.494
1.436	469.089
1.438	469.196
1.436	470.801
1.437	471.280
1.450	473.623
1.467	474.479
1.502	476.232
1.489	476.232
1.506	477.613
1.506	477.613
