 Easting, Northing, Elevation,Station_Name, StationID
495745.021,540866.046,2115.782,HV_1,1
495648.807,540807.971,2113.417,HV_2,2
495748.623,540810.148,2110.525,HV_3,3
495737.066,540962.89,2116.825,NK02,4
495737.109,540952.377,2116.766,NK01,5
495726.981,540950.423,2116.765,NK03,6
495871.677,541001.772,2215.903,HV_7,7
495752.092,540864.786,2116.136,BS_TN_1,100
495606.499,541105.875,2222.672,A1_7,107
495568.754,541130.415,2223.868,A1_8,108
495723.007,541022.01,2217.205,A2_1,201
495723.359,541011.18,2217.036,A2_2,202
495710.942,541002.394,2214.071,A2_3,203
495698.732,540998.396,2212.75,A2_4,204
495690.268,540992.908,2210.663,A2_5,205
495719.188,540986.871,2207.866,A2_6,206
495745.642,541071.57,2218.073,A2_8,208
495738.79,541048.214,2217.552,A2_9,209
495686.967,541027.777,2217.184,A2_10,210
495668.58,541083.167,2219.198,A2_11,211
495645.717,541045.463,2218.234,A2_12,212
495638.03,541080.819,2219.607,A2_13,213
495714.539,541069.969,2218.02,A2_14,214
495729.104,541070.309,2218.092,A2_15,215
495728.957,541048.231,2217.609,A2_16,216
495707.473,541135.119,2221.881,A2_17,217
495845.997,540987.356,2213.44,A3_1,301
495875.871,540983.127,2213.135,A3_2,302
495914.67,540973.949,2212.207,A3_3,303
495951.74,540965.847,2210.869,A3_4,304
495988.72,540964.036,2209.596,A3_5,305
495818.25,541043.325,2216.592,A3_6,306
495751.122,541026.879,2217.016,A3_7,307
495800.652,541007.167,2214.959,A3_8,308
495677.067,540900.064,2124.393,A5_1,501
495700.945,540910.649,2135.731,A5_2,502
495725.015,540920.219,2142.926,A5_3,503
495743.127,540918.531,2137.259,A5_4,504
495936.379,541054.789,2215.629,A6_3,603
495902.716,541109.253,2217.184,A6_4,604
495872.619,541056.858,2216.713,A6_5,605
495801.714,541079.07,2217.57,A6_7,607
495773.663,541119.912,2220.908,A6_8,608
495738.803,540950.461,2116.762,MU00,1000
495737.49,540968.022,2116.805,MU01,1001
495741.057,540921.927,2116.462,MU02,1002
495743.152,540895.4,2116.205,MU03,1003
495742.853,540886.973,2116.098,TS00,1100
495742.279,540894.437,2116.194,TS01,1101
495741.675,540901.935,2116.254,TS02,1102
495741.062,540909.402,2116.329,TS03,1103
495740.503,540916.868,2116.395,TS04,1104
495740.106,540921.843,2116.465,TS05,1105
495740.015,540923.108,2116.47,TS06,1106
495739.927,540924.35,2116.483,TS07,1107
495739.823,540925.604,2116.483,TS08,1108
495739.716,540926.831,2116.5,TS09,1109
495739.532,540929.328,2116.515,TS10,1110
495739.318,540931.827,2116.541,TS11,1111
495739.213,540933.075,2116.554,TS12,1112
495739.105,540934.31,2116.566,TS13,1113
495738.916,540936.81,2116.606,TS14,1114
495738.738,540939.284,2116.641,TS15,1115
495738.553,540941.794,2116.666,TS16,1116
495738.359,540944.288,2116.687,TS17,1117
495737.755,540951.733,2116.767,TS18,1118
495737.207,540959.218,2116.814,TS19,1119
495736.854,540966.716,2116.802,TS20,1120
