   4.9567707e+05   5.4090006e+05   9.9290151e-02   4.1740421e-02
   4.9570095e+05   5.4091065e+05   5.8690039e-02   2.4848877e-02
   4.9572502e+05   5.4092022e+05   1.6515595e-02   7.8704352e-03
   4.9574313e+05   5.4091853e+05  -2.5302585e-02   4.5100505e-03
   4.9575209e+05   5.4086479e+05  -1.0601752e-01   8.2851148e-03
   4.9573749e+05   5.4096802e+05   4.3254895e-02   2.8344565e-03
   4.9574106e+05   5.4092193e+05  -1.6889934e-02   3.2375452e-03
   4.9574315e+05   5.4089540e+05  -5.1595474e-02   3.4985677e-03
   4.9573711e+05   5.4095238e+05   2.6347956e-02   1.8766842e-03
   4.9573707e+05   5.4096289e+05   3.8367732e-02   2.3146444e-03
   4.9572698e+05   5.4095042e+05   4.6445013e-02   5.1752008e-03
   4.9574285e+05   5.4088697e+05  -6.0495594e-02   2.9181834e-03
   4.9574228e+05   5.4089444e+05  -5.0764468e-02   2.8553826e-03
   4.9574167e+05   5.4090194e+05  -4.0928681e-02   2.7734630e-03
   4.9574106e+05   5.4090940e+05  -3.1108229e-02   2.6839755e-03
   4.9574050e+05   5.4091687e+05  -2.1407882e-02   2.6315791e-03
   4.9574011e+05   5.4092184e+05  -1.4890021e-02   2.5798105e-03
   4.9574002e+05   5.4092311e+05  -1.3254627e-02   2.5734869e-03
   4.9573993e+05   5.4092435e+05  -1.1651932e-02   2.5682035e-03
   4.9573982e+05   5.4092560e+05  -1.0000375e-02   2.5524506e-03
   4.9573972e+05   5.4092683e+05  -8.3728350e-03   2.5334339e-03
   4.9573953e+05   5.4092933e+05  -5.1350740e-03   2.5179437e-03
   4.9573932e+05   5.4093183e+05  -1.8289498e-03   2.4819115e-03
   4.9573921e+05   5.4093307e+05  -1.8199547e-04   2.4652041e-03
   4.9573910e+05   5.4093431e+05   1.4568222e-03   2.4458555e-03
   4.9573892e+05   5.4093681e+05   4.7090020e-03   2.4270602e-03
   4.9573874e+05   5.4093928e+05   7.9074549e-03   2.4146732e-03
   4.9573855e+05   5.4094179e+05   1.1162165e-02   2.3990734e-03
   4.9573836e+05   5.4094429e+05   1.4418555e-02   2.3765728e-03
   4.9573776e+05   5.4095173e+05   2.4194223e-02   2.2922962e-03
   4.9573721e+05   5.4095922e+05   3.3891888e-02   2.2483095e-03
   4.9573685e+05   5.4096672e+05   4.3174684e-02   2.3390016e-03
